CustomerID,Name,Gender,Email,DateOfRegistration,ShippingAddress,PreferredPaymentMethod,PreferredCategories,LoyaltyPoints,PhoneVerified,EmailVerified
CUST_001,Angela Rodriguez,Female,enichols@yahoo.com,2022-09-06,"5488 Duarte Loaf Suite 980
Port Karenfort, NJ 76568",Credit Card,Fashion,3176,Yes,Yes
CUST_002,Mark Davus,Male,unknown,2024-06-28,"76790 Middleton Roads Suite 299
Mccoyfort, ID 35694",Bank Transfer,Home Appliances,4475,No,Yes
CUST_003,Sheryl Lee,Male,santiagowalter@perez.biz,2022-06-29,"2671 Gregory Branch Apt. 227
Paulborough, ND 19225",Credit Card,Groceries,0,No,Yes
CUST_004,Jennifer Watson,Male,marshalldavid@hotmail.com,2021-09-22,"1907 Jeffrey Corners Suite 646
Taylorfort, NE 43994",Mobile Payment,Groceries,2841,Yes,No
CUST_005,Richard Peterson,Male,ithomas@yahoo.com,2020-06-17,"263 Walker Knoll Suite 048
Barbaraview, RI 69220",Bank Transfer,Groceries,4000,Yes,No
CUST_006,Thompson Frederick,Male,thompsonfrederick@reynolds-montoya.com,2021-04-10,"809 Horton Skyway Suite 782
West Kristin, WY 14827",Credit Card,Electronics,4704,Yes,No
CUST_007,Mark Singleton,Male,victorleblanc@gmail.com,2020-03-01,"3853 Timothy Pass Suite 816
Lake Laurastad, ND 17010",Credit Card,Fashion,220,No,Yes
CUST_008,Rebecca Webb,Male,baldwingrant@ramos-evans.com,2025-01-03,"5037 Hernandez Islands
Bryanborough, AL 66217",PayPal,Groceries,1916,Yes,No
CUST_009,Rebecca Huang,Male,unknown,2024-09-11,"USNV Ortiz
FPO AE 76783",Pay,Home Appliances,4985,No,No
CUST_010,Sarah59,Male,sarah59@salazar.com,2020-04-18,"0514 Daniel Ferry Apt. 970
Jasonport, GA 32053",Bank Transfer,Groceries,1459,Yes,No
CUST_012,Kenneth Harrison,Male,harterik@hughes.info,2024-01-16,"64614 Jason Hills Suite 376
West Williamside, ND 46520",Bank Transfer,Groceries,3073,Yes,Yes
CUST_013,Scott Gibson,Female,ythompson@camacho.com,2022-05-01,"PSC 1402, Box 7203
APO AA 12398",Credit Card,Fashion,3067,No,Yes
CUST_014,Diane34,Male,diane34@powell.com,2024-02-14,"71894 Steven Pass Apt. 913
Larryville, VT 71622",Credit Card,Electronics,2684,Yes,No
CUST_015,Mr. John Walker,Male,antonio23@martinez-marshall.com,2021-08-09,"822 Adam Throughway
North Amyland, NM 76382",Bank,Fashion,4107,No,Yes
CUST_016,Joshua Rogers,Male,rodney61@gmail.com,2023-07-11,"683 Cynthia Shore
Lloydport, NE 57613",PayPal,Books,13,No,Yes
CUST_017,Kimberly,Female,kimberly45@yahoo.com,2022-08-12,"38013 Anthony Valley Suite 451
Heathermouth, IL 60258",Mobile Payment,Home Appliances,4908,No,No
CUST_018,Lisa Tuckers,Female,nbutler@hotmail.com,2020-08-06,"USNV Woods
FPO AA 66200",PayPal,Books,3311,Yes,No
CUST_019,Angelica,Female,angelica42@gmail.com,2024-12-13,"56047 Kelly Gardens
Michaelborough, MT 29067",Mobile Payment,Books,632,No,Yes
CUST_020,Nathaniel Ruiz,Male,iclayton@yahoo.com,2021-09-01,"438 Norton Divide
Lake David, WA 61209",Bank Transfer,Home Appliances,1884,No,Yes
CUST_021,Frica Cortez,Male,greenashley@wiluox-smith.com,2024-10-29,"PSC 8510, Box 9719
APO AE 08731",Bank Transfer,Home Appliances,1131,Yes,No
