CustomerID,Name,Gender,Email,DateOfRegistration,ShippingAddress,PreferredPaymentMethod,PreferredCategories,LoyaltyPoints,PhoneVerified,EmailVerified
CUST_001,Angela Rodriguez,Female,enichols@yahoo.com,9/6/2022,"5488 Duarte Loaf Suite 980
Port Karenfort, NJ 76568",Credit Card,Fashion,3176,Yes,Yes
CUST_002,Mark Davus,Male,unknown,6/28/2024,"76790 Middleton Roads Suite 299
Mccoyfort, ID 35694",Bank Transfer,Home Appliances,4475,No,Yes
CUST_003,Sheryl Lee,Male,santiagowalter@perez.biz,6/29/2022,"2671 Gregory Branch Apt. 227
Paulborough, ND 19225",Credit Card,Groceries,0,No,Yes
CUST_004,Jennifer Watson,Male,marshalldavid@hotmail.com,9/22/2021,"1907 Jeffrey Corners Suite 646
Taylorfort, NE 43994",Mobile Payment,Groceries,2841,Yes,No
CUST_005,Richard Peterson,Male,ithomas@yahoo.com,6/17/2020,"263 Walker Knoll Suite 048
Barbaraview, RI 69220",Bank Transfer,Groceries,4000,Yes,No
CUST_006,Thompson Frederick,Male,thompsonfrederick@reynolds-montoya.com,4/10/2021,"809 Horton Skyway Suite 782
West Kristin, WY 14827",Credit Card,Electronics,4704,Yes,No
CUST_007,Mark Singleton,Male,victorleblanc@gmail.com,3/1/2020,"3853 Timothy Pass Suite 816
Lake Laurastad, ND 17010",Credit Card,Fashion,220,No,Yes
CUST_008,Rebecca Webb,Male,baldwingrant@ramos-evans.com,1/3/2025,"5037 Hernandez Islands
Bryanborough, AL 66217",PayPal,Groceries,1916,Yes,No
CUST_009,Rebecca Huang,Male,unknown,9/11/2024,"USNV Ortiz
FPO AE 76783",Pay,Home Appliances,4985,No,No
CUST_010,Sarah59,Male,sarah59@salazar.com,4/18/2020,"0514 Daniel Ferry Apt. 970
Jasonport, GA 32053",Bank Transfer,Groceries,1459,Yes,No
CUST_012,Kenneth Harrison,Male,harterik@hughes.info,1/16/2024,"64614 Jason Hills Suite 376
West Williamside, ND 46520",Bank Transfer,Groceries,3073,Yes,Yes
CUST_013,Scott Gibson,Female,ythompson@camacho.com,5/1/2022,"PSC 1402, Box 7203
APO AA 12398",Credit Card,Fashion,3067,No,Yes
CUST_014,Diane34,Male,diane34@powell.com,2/14/2024,"71894 Steven Pass Apt. 913
Larryville, VT 71622",Credit Card,Electronics,2684,Yes,No
CUST_015,Mr. John Walker,Male,antonio23@martinez-marshall.com,8/9/2021,"822 Adam Throughway
North Amyland, NM 76382",Bank,Fashion,4107,No,Yes
CUST_016,Joshua Rogers,Male,rodney61@gmail.com,7/11/2023,"683 Cynthia Shore
Lloydport, NE 57613",PayPal,Books,13,No,Yes
CUST_017,Kimberly,Female,kimberly45@yahoo.com,8/12/2022,"38013 Anthony Valley Suite 451
Heathermouth, IL 60258",Mobile Payment,Home Appliances,4908,No,No
CUST_018,Lisa Tuckers,Female,nbutler@hotmail.com,8/6/2020,"USNV Woods
FPO AA 66200",PayPal,Books,3311,Yes,No
CUST_019,Angelica,Female,angelica42@gmail.com,12/13/2024,"56047 Kelly Gardens
Michaelborough, MT 29067",Mobile Payment,Books,632,No,Yes
CUST_020,Nathaniel Ruiz,Male,iclayton@yahoo.com,9/1/2021,"438 Norton Divide
Lake David, WA 61209",Bank Transfer,Home Appliances,1884,No,Yes
CUST_021,Frica Cortez,Male,greenashley@wiluox-smith.com,10/29/2024,"PSC 8510, Box 9719
APO AE 08731",Bank Transfer,Home Appliances,1131,Yes,No
CUST_022,Crystal Torres,Male,ellislisa@yahoo.com,11/7/2020,"24271 Atkins Loop Suite 185
South Johnmouth, MS 21553",Bank Transfer,Home Appliances,4095,Yes,Yes
CUST_023,Jennifer Arnold,Male,brandon14@bennett.org,11/8/2020,"89947 Price Glens Apt. 763
Lake Yolanda, MI 42079",Credit Card,Fashion,1539,Yes,No
CUST_024,Aaron Glenn,Female,rikhardsonsonya@gmail.com,10/25/2022,"900 Martinez Lock
South Pamelatown, VT 56617",Bank Transfer,Groceries,362,Yes,No
CUST_025,Sheila Green,Female,jeffery29@gmail.com,3/6/2021,"3880 Bradley Lights Apt. 050
Millerview, AZ 13977",Mobile Payment,Home Appliances,1730,No,Yes
CUST_027,John Hall,Female,ohunter@diaz-rocha.com,12/16/2023,"3223 Jason Points Apt. 931
East Matthew, KY 53566",Mobile Payment,Groceries,3666,No,No
CUST_028,Gene Pearson,Female,derdk40@hotmail.com,8/30/2021,unknown,Credit Card,Home Appliances,760,No,Yes
CUST_029,John Smith,Female,seanlyons@kim.com,1/22/2025,"953 Christopher Flats Apt. 049
North Zachary, OK 70254",Credit Card,Home Appliances,2781,No,Yes
CUST_030,Renee Robicson,Female,debrajohnson@hotmail.com,12/9/2020,"421 Eric Forest
Ashleyton, DE 12330",Mobile Payment,Groceries,3046,No,Yes
CUST_031,Bass Rhonda,Male,bassrhonda@yahoo.com,9/3/2023,"37562 Michele Mount Suite 204
North James, MS 23083",PayPal,Electronics,1373,Yes,Yes
CUST_032,Annette Pierce,Male,pagejacob@hbtmail.com,1/19/2021,"826 Lane Views Suite 123
Lake Albertview, NE 69909",Cred,Fashion,3587,No,Yes
CUST_033,Alex Medino,Female,patriciaharris@yahoo.com,2/11/2023,unknown,Credit Card,Home Appliances,1234,No,Yes
CUST_034,Joannz Wood,Female,williamssusan@gomez.org,1/6/2022,"USNS Little
FPO AA 21558",PayPal,Electronics,2334,Yes,No
CUST_035,Allen Rachel,Male,allenrachel@hotmail.com,6/6/2024,"2215 Cruz Plains Apt. 797
Lake Loretta, AR 06332",Crdit Card,Home Appliances,2598,No,No
CUST_036,Eric Davis,Female,xweaver@hotmail.com,8/26/2023,"456 Ronald Meadows Suite 367
North Brandonmouth, NJ 20410",PayPal,Home Appliances,3068,Yes,Yes
CUST_037,Tara Hunt,Female,sahah20@kim.info,11/25/2023,unknown,Credit Card,Fashion,3937,No,Yes
CUST_038,Manuel Tucker,Female,loweryan@gmail.com,12/21/2022,"PSC 7719, Box 0948
APO AA 31866",Pay,Books,285,Yes,No
CUST_040,Cory Murphy,Male,xjohnson@kaiser-lowe.biz,1/19/2021,unknown,Mobile Payment,Books,3454,No,Yes
CUST_042,Anna Garrett,Female,tiffany60@brocn.com,8/1/2021,"773 Stephanie Meadow
Gabrielside, AZ 23094",PayPal,Fashion,1339,Yes,No
CUST_043,Christina Hartman,Male,diana86@yahoo.com,11/7/2020,"182 Ferguson Ranch Suite 094
West Julie, VT 10326",BankTrans,Books,3212,Yes,Yes
CUST_044,Sandra Cole,Male,sherryross@hart-smith.net,4/23/2022,"23579 James Fords Apt. 756
Davidland, NC 58385",PayPal,Fashion,4238,Yes,Yes
CUST_045,Danny Lowe,Female,bonniereese@moore.com,1/28/2024,"910 Eric Oval
Lisaborough, NY 91332",PayPal,Groceries,871,No,Yes
CUST_046,Lauranzuniga,Female,pricemegan@gmail.com,6/1/2021,"508 Andrea Plain Suite 843
Lake Pedroborough, KS 59294",Bank Transfer,Books,3808,No,No
CUST_047,Nicjle Smith,Female,travis51@gmail.com,3/12/2024,"02267 Harris Circle Apt. 806
West Marissa, PA 43730",Crdit Card,Books,676,Yes,No
CUST_048,Felicia Fowlrr,Female,dominicduffy@yahoo.com,5/22/2021,"3625 Brandi Well Suite 253
Kristenfurt, AK 96332",Credit Card,Fashion,2836,Yes,No
CUST_049,Mr. Kyle Brooks,Male,amanda86@gmail.com,2/25/2022,"91675 Woodward Via Suite 975
Burnsport, TX 99789",Bank Transfer,Groceries,830,No,Yes
CUST_050,Ashley Flores,Male,janetclark@traa.org,1/30/2023,"660 Laura Avenue
Garyland, OK 45707",PayPal,Fashion,3213,No,No
CUST_051,Jay Reyes,Female,reedkelly@morrison.com,1/31/2020,"498 Jean Mall
Juanland, ND 16910",Bank Transfer,Fashion,100,Yes,No
CUST_052,Rachel Taylor,Female,joannchristensen@patrick.com,2/1/2021,"368 Kayla Light
West Andrew, NM 79689",PayPal,Groceries,1317,No,Yes
CUST_053,Ryqn Diaz,Male,scottcolleen@rack-salazar.com,2/2/2023,"671 Rebecca Cape Apt. 009
Riosville, OR 48529",Bank Transfer,Groceries,2663,Yes,No
CUST_054,Nicholas Stokes,Male,kimclaston@stevenson-powell.com,6/13/2022,"860 Brown Mall
Jasmineland, IN 82678",Mobile Payment,Electronics,1154,No,Yes
CUST_055,Briin Weeks,Male,unknown,10/18/2021,"77413 Wells Brook
East Christophermouth, DE 96242",PayPal,Groceries,4707,No,No
CUST_056,Cathy Mcfarlhnd,Female,ndoylejross.info,12/31/2021,"USS Jones
FPO AE 86408",PayPal,Fashion,4153,Yes,Yes
